Round,Date,Local_Time,GMT_Time,Home_Team,Away_Team
17,"Friday, 19 December 2025",20:00,18:00,ZALGIRIS KAUNAS,PARTIZAN MOZZART BET BELGRADE
17,"Friday, 19 December 2025",19:30,18:30,AS MONACO,FC BAYERN MUNICH
17,"Friday, 19 December 2025",21:15,19:15,OLYMPIACOS PIRAEUS,LDLC ASVEL VILLEURBANNE
17,"Friday, 19 December 2025",20:30,19:30,FC BARCELONA,BASKONIA VITORIA-GASTEIZ
17,"Friday, 19 December 2025",20:45,19:45,CRVENA ZVEZDA MERIDIANBET BELGRADE,VIRTUS BOLOGNA
,,,,,
18,"Tuesday, 23 December 2025",20:00,16:00,DUBAI BASKETBALL,EA7 EMPORIO ARMANI MILAN
18,"Tuesday, 23 December 2025",20:45,17:45,FENERBAHCE BEKO ISTANBUL,FC BARCELONA
18,"Tuesday, 23 December 2025",20:00,18:00,ZALGIRIS KAUNAS,PANATHINAIKOS AKTOR ATHENS
18,"Tuesday, 23 December 2025",20:30,18:30,FC BAYERN MUNICH,HAPOEL IBI TEL AVIV
18,"Tuesday, 23 December 2025",20:30,19:30,VALENCIA BASKET,BASKONIA VITORIA-GASTEIZ
18,"Tuesday, 23 December 2025",20:45,19:45,LDLC ASVEL VILLEURBANNE,ANADOLU EFES ISTANBUL
18,"Tuesday, 23 December 2025",20:45,19:45,PARIS BASKETBALL,CRVENA ZVEZDA MERIDIANBET BELGRADE
18,"Friday, 26 December 2025",19:30,18:30,AS MONACO,REAL MADRID
18,"Friday, 26 December 2025",20:30,19:30,PARTIZAN MOZZART BET BELGRADE,MACCABI RAPYD TEL AVIV
18,"Friday, 26 December 2025",20:30,19:30,VIRTUS BOLOGNA,OLYMPIACOS PIRAEUS
,,,,,
19,"Tuesday, 30 December 2025",21:00,19:00,HAPOEL IBI TEL AVIV,ZALGIRIS KAUNAS
19,"Tuesday, 30 December 2025",20:00,19:00,LDLC ASVEL VILLEURBANNE,PARIS BASKETBALL
19,"Tuesday, 30 December 2025",20:30,19:30,FC BARCELONA,AS MONACO
19,"Tuesday, 30 December 2025",20:30,19:30,VALENCIA BASKET,PARTIZAN MOZZART BET BELGRADE
19,"Friday, 2 January 2026",20:30,17:30,ANADOLU EFES ISTANBUL,CRVENA ZVEZDA MERIDIANBET BELGRADE
19,"Friday, 2 January 2026",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,OLYMPIACOS PIRAEUS
19,"Friday, 2 January 2026",20:30,19:30,BASKONIA VITORIA-GASTEIZ,FENERBAHCE BEKO ISTANBUL
19,"Friday, 2 January 2026",20:30,19:30,VIRTUS BOLOGNA,EA7 EMPORIO ARMANI MILAN
19,"Friday, 2 January 2026",20:45,19:45,REAL MADRID,DUBAI BASKETBALL
19,"Friday, 2 January 2026",21:00,20:00,FC BAYERN MUNICH,MACCABI RAPYD TEL AVIV
,,,,,
20,"Tuesday, 6 January 2026",20:45,17:45,FENERBAHCE BEKO ISTANBUL,OLYMPIACOS PIRAEUS
20,"Tuesday, 6 January 2026",20:00,18:00,HAPOEL IBI TEL AVIV,DUBAI BASKETBALL
20,"Tuesday, 6 January 2026",19:30,18:30,AS MONACO,PARTIZAN MOZZART BET BELGRADE
20,"Tuesday, 6 January 2026",20:00,19:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,VALENCIA BASKET
20,"Tuesday, 6 January 2026",20:00,19:00,LDLC ASVEL VILLEURBANNE,REAL MADRID
20,"Tuesday, 6 January 2026",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,EA7 EMPORIO ARMANI MILAN
20,"Tuesday, 6 January 2026",20:30,19:30,FC BARCELONA,MACCABI RAPYD TEL AVIV
20,"Tuesday, 6 January 2026",20:30,19:30,VIRTUS BOLOGNA,ZALGIRIS KAUNAS
20,"Wednesday, 7 January 2026",20:30,17:30,ANADOLU EFES ISTANBUL,PARIS BASKETBALL
20,"Wednesday, 7 January 2026",20:30,19:30,FC BAYERN MUNICH,BASKONIA VITORIA-GASTEIZ
,,,,,
21,"Thursday, 8 January 2026",20:00,16:00,DUBAI BASKETBALL,FENERBAHCE BEKO ISTANBUL
21,"Thursday, 8 January 2026",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,VIRTUS BOLOGNA
21,"Thursday, 8 January 2026",20:30,19:30,VALENCIA BASKET,AS MONACO
21,"Thursday, 8 January 2026",20:45,19:45,REAL MADRID,MACCABI RAPYD TEL AVIV
21,"Friday, 9 January 2026",20:00,18:00,HAPOEL IBI TEL AVIV,PARIS BASKETBALL
21,"Friday, 9 January 2026",20:00,18:00,ZALGIRIS KAUNAS,CRVENA ZVEZDA MERIDIANBET BELGRADE
21,"Friday, 9 January 2026",21:15,19:15,OLYMPIACOS PIRAEUS,FC BAYERN MUNICH
